cost	iter 1	iter 2	iter 3	iter 4	iter 5	iter 6	iter 7	iter 8	iter 9
3	0.17	0.17	0.2	0.2	0.2	0.2	0.2	0.2	0.2
22	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07
23	0.78	0.78	0.76	0.76	0.76	0.78	0.76	0.83	0.81
42	0.56	0.56	0.56	0.54	0.56	0.61	0.63	0.63	0.63
62	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37
101	0.05	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02
1002	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27
1003	0.78	0.78	0.76	0.73	0.73	0.73	0.73	0.68	0.68
1022	1.39	1.39	1.39	1.39	1.39	1.32	1.32	1.32	1.32
1023	0.98	0.98	0.98	0.98	0.98	1.0	1.0	1.0	1.0
1041	0.15	0.15	0.15	0.15	0.15	0.15	0.1	0.12	0.1
1043	3.17	3.17	3.2	3.2	3.2	3.2	3.17	3.15	3.12
1061	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
1062	1.32	1.32	1.37	1.37	1.37	1.37	1.37	1.39	1.34
1063	1.03	1.03	1.05	1.03	1.03	1.03	1.0	1.0	1.0
1082	0.44	0.44	0.42	0.42	0.42	0.39	0.39	0.39	0.37
1102	0.68	0.68	0.71	0.68	0.71	0.66	0.66	0.66	0.63
2001	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
2002	1.03	1.03	0.95	0.98	0.95	0.95	0.95	0.95	0.95
2003	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54	0.54
2021	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46
2022	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44	0.44
2023	4.05	4.05	3.91	3.91	3.93	3.86	3.86	3.86	3.86
2042	2.25	2.25	2.22	2.22	2.22	2.27	2.27	2.25	2.2
2043	1.37	1.37	1.39	1.37	1.39	1.34	1.29	1.32	1.29
2062	0.98	0.98	0.95	0.95	0.95	0.9	0.85	0.88	0.85
2063	6.71	6.71	6.76	6.74	6.81	6.74	6.71	6.76	6.67
2082	0.07	0.07	0.07	0.07	0.07	0.1	0.1	0.1	0.1
2083	3.22	3.22	3.3	3.3	3.32	3.32	3.34	3.37	3.39
2102	0.46	0.46	0.49	0.49	0.49	0.49	0.46	0.46	0.46
2103	1.15	1.15	1.12	1.15	1.12	1.17	1.15	1.2	1.2
2122	1.0	1.0	1.03	1.03	1.03	1.03	1.0	1.03	1.0
3001	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32
3002	0.24	0.24	0.24	0.22	0.24	0.22	0.22	0.22	0.22
3003	0.71	0.71	0.68	0.68	0.68	0.63	0.63	0.63	0.63
3022	1.25	1.25	1.25	1.27	1.25	1.2	1.2	1.17	1.17
3023	1.95	1.95	1.95	1.95	1.95	2.0	1.98	1.98	1.98
3042	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2	0.2
3043	5.37	5.37	5.37	5.3	5.3	5.37	5.3	5.32	5.35
3062	0.73	0.73	0.73	0.73	0.73	0.71	0.71	0.71	0.71
3063	2.42	2.42	2.44	2.47	2.44	2.51	2.56	2.51	2.56
3082	0.98	0.98	0.95	0.95	0.93	0.95	0.98	0.98	0.98
3083	5.4	5.4	5.32	5.32	5.32	5.35	5.37	5.4	5.47
3103	4.54	4.54	4.52	4.54	4.52	4.57	4.59	4.57	4.59
3123	3.86	3.86	3.86	3.86	3.86	3.91	3.96	3.91	3.96
3142	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34
3162	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15
4000	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
4002	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51
4003	0.27	0.27	0.27	0.29	0.27	0.29	0.29	0.29	0.29
4023	1.51	1.51	1.51	1.51	1.51	1.39	1.39	1.37	1.37
4042	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24	0.24
4043	1.27	1.27	1.29	1.27	1.29	1.27	1.29	1.32	1.29
4063	3.47	3.47	3.44	3.44	3.44	3.44	3.47	3.42	3.44
4082	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07
4083	2.91	2.91	2.88	2.91	2.91	2.83	2.86	2.83	2.83
4103	1.95	1.95	2.0	2.03	2.0	2.08	2.1	2.1	2.1
4122	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
4123	4.15	4.15	4.2	4.2	4.2	4.2	4.25	4.22	4.27
4143	4.42	4.42	4.49	4.49	4.49	4.54	4.57	4.64	4.61
4163	1.22	1.22	1.22	1.2	1.2	1.2	1.2	1.2	1.2
4202	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
5003	0.27	0.27	0.27	0.27	0.27	0.24	0.24	0.24	0.24
5043	0.78	0.78	0.78	0.78	0.78	0.81	0.81	0.81	0.81
5063	0.76	0.76	0.71	0.73	0.71	0.73	0.73	0.68	0.73
5083	0.93	0.93	0.95	0.98	0.98	0.98	0.98	0.98	0.98
5103	1.46	1.46	1.44	1.46	1.44	1.46	1.46	1.44	1.46
5123	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46	0.46
5143	0.95	0.95	0.98	0.98	0.98	0.98	0.98	0.98	0.98
5163	2.22	2.22	2.22	2.22	2.22	2.22	2.17	2.2	2.15
5183	1.73	1.73	1.76	1.76	1.78	1.78	1.78	1.78	1.81
5203	0.27	0.27	0.27	0.27	0.27	0.29	0.29	0.29	0.29
6003	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
6063	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07
6083	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27
6103	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
6143	0.49	0.49	0.51	0.51	0.51	0.51	0.51	0.51	0.51
6183	0.22	0.22	0.22	0.22	0.22	0.22	0.2	0.2	0.2
6203	0.73	0.73	0.73	0.73	0.73	0.73	0.76	0.76	0.78
6223	0.61	0.61	0.61	0.63	0.61	0.61	0.66	0.61	0.66
7123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7183	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
7243	0.2	0.2	0.2	0.2	0.2	0.2	0.22	0.22	0.22
7263	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17	0.17
8303	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07
