cost	std 1	std 2000
3	8.474697464923468	8.60384088010204
202	18.009886001275508	18.003050063775508
203	256.40909518494897	257.08511360012756
402	423.3642753507653	424.6118199936225
602	457.8463388871173	459.0938835299745
1001	458.86802295918363	460.0713851243623
1002	459.2859821428571	460.48934430803575
1003	459.7039413265306	460.90730349170923
1202	460.12190051020406	461.3252626753827
1203	460.48466996173465	461.6880321269133
1401	460.9026291454081	462.1059913105868
1403	461.2925051817602	462.46876076211737
1601	461.71046436543367	462.88671994579084
1602	462.07323381696426	463.2765959821429
1603	462.4631098533163	463.6945551658164
1802	462.8810690369898	464.11251434948986
2001	463.2990282206633	464.53047353316333
2002	463.71698740433675	464.9484327168368
2003	464.1349465880102	465.3663919005103
2201	464.5529057716837	465.78435108418375
2202	464.9708649553572	466.20231026785723
2203	465.38882413903065	466.6202694515307
2402	465.8067833227041	467.0382286352042
2403	466.2247425063776	467.45618781887765
2602	466.64270169005107	467.8741470025511
2603	467.06066087372454	468.2921061862246
2802	467.478620057398	468.7100653698981
2803	467.8965792410715	469.12802455357155
3001	468.31453842474497	469.545983737245
3002	468.73249760841844	469.9639429209185
3003	469.1504567920919	470.381902104592
3202	469.5684159757654	470.79986128826545
3203	469.98637515943886	471.2178204719389
3402	470.40433434311234	471.6357796556124
3403	470.8222935267858	472.05373883928587
3602	471.2402527104593	472.47169802295934
3603	471.65821189413276	472.8896572066328
3802	472.07617107780624	473.3076163903063
3803	472.4941302614797	473.72557557397977
4000	472.9120894451532	474.14353475765324
4002	473.33004862882666	474.5614939413267
4003	473.74800781250013	474.9794531250002
4203	474.1659669961736	475.39741230867367
4402	474.5839261798471	475.81537149234714
4403	475.00188536352056	476.2333306760206
4602	475.41984454719403	476.6512898596941
4603	475.8378037308675	477.06924904336756
4802	476.255762914541	477.48720822704104
4803	476.67372209821445	477.9051674107145
5003	477.09168128188793	478.323126594388
5202	477.5096404655614	478.74108577806146
5203	477.9275996492349	479.15904496173493
5403	478.34555883290835	479.5770041454084
5603	478.7635180165818	479.9949633290819
5803	479.1814772002553	480.41292251275536
6002	479.5994363839288	480.83088169642883
6003	480.01739556760225	481.2488408801023
6203	480.4353547512757	481.6668000637758
6403	480.8533139349492	482.08475924744926
6603	481.2712731186227	482.50271843112273
6803	481.68923230229615	482.9206776147962
7003	482.1071914859696	483.3386367984697
7403	482.5251506696431	483.75659598214315
7803	482.94310985331657	484.1745551658166
8003	483.36106903699005	484.5925143494901
8203	483.7790282206635	485.0104735331636
8803	484.196987404337	485.42843271683705
9403	484.61494658801047	485.8463919005105
9603	485.03290577168394	486.264351084184
11003	485.4508649553574	486.6823102678575
