cost	iter 1	iter 500
3	0.0	3.71
202	0.05	3.37
203	0.0	17.33
402	0.05	14.75
602	0.05	7.62
1001	0.0	1.61
1002	0.05	0.54
1003	0.1	1.66
1202	0.49	4.0
1203	0.0	4.98
1401	0.15	0.34
1403	0.68	14.21
1601	0.0	0.49
1602	0.15	3.91
1603	0.15	3.66
1802	0.15	2.34
2001	0.0	0.0
2002	0.1	2.93
2003	0.24	0.29
2201	0.15	0.05
2202	0.2	0.15
2203	0.73	1.9
2402	0.15	0.68
2403	0.29	0.63
2602	0.1	0.49
2603	2.25	3.42
2802	0.0	0.1
2803	0.78	1.81
3001	0.34	0.0
3002	0.2	0.59
3003	0.73	0.24
3202	0.98	0.78
3203	1.22	0.05
3402	0.15	0.05
3403	2.49	0.2
3602	0.05	0.05
3603	1.12	0.1
3802	0.34	0.05
3803	2.39	0.2
4000	0.0	0.0
4002	0.2	0.0
4003	3.08	0.2
4203	3.08	0.34
4402	0.15	0.05
4403	1.46	0.0
4602	0.05	0.1
4603	2.83	0.0
4802	0.05	0.0
4803	3.17	0.0
5003	2.39	0.0
5202	0.0	0.0
5203	4.25	0.0
5403	6.3	0.05
5603	0.93	0.0
5803	2.83	0.0
6002	0.0	0.0
6003	4.3	0.0
6203	1.03	0.0
6403	2.83	0.0
6603	5.76	0.0
6803	5.42	0.0
7003	1.9	0.0
7403	2.93	0.0
7803	5.27	0.0
8003	2.25	0.0
8203	8.25	0.0
8803	1.86	0.0
9403	3.17	0.0
9603	3.56	0.0
11003	3.66	0.0
