cost	iter 1	iter 200
4.82	0.34	27.0
5.23	0.29	25.24
6.05	0.29	24.85
202.0	0.49	0.59
202.41	1.61	2.25
203.23	0.49	1.37
203.41	1.51	2.59
203.64	0.39	0.93
204.0	0.34	0.24
204.64	3.32	5.13
204.82	1.17	1.17
205.23	0.54	0.34
205.82	0.98	0.29
206.05	0.44	0.68
206.46	0.15	0.24
206.64	2.0	1.17
206.82	0.24	0.54
207.05	2.64	3.08
207.23	0.88	0.44
207.28	0.1	0.1
208.46	0.83	0.68
209.28	0.24	0.29
209.69	0.39	0.2
400.0	0.73	0.0
401.0	0.93	0.05
401.41	0.34	0.1
402.0	0.59	0.0
402.23	1.03	0.1
402.41	1.27	0.0
402.82	0.1	0.0
403.23	0.88	0.0
403.41	1.17	0.05
403.64	0.73	0.05
403.82	0.34	0.05
404.23	0.2	0.0
404.41	0.15	0.0
404.46	0.15	0.0
404.64	1.46	0.05
405.05	0.49	0.0
405.41	0.29	0.0
405.46	0.44	0.0
405.64	0.98	0.05
405.82	1.12	0.05
405.87	0.39	0.0
406.05	0.88	0.0
406.64	0.83	0.0
406.87	0.54	0.0
407.05	1.07	0.05
407.87	0.44	0.0
408.28	0.29	0.0
408.64	0.49	0.0
409.05	2.29	0.0
409.23	0.88	0.0
409.46	2.25	0.0
409.64	0.2	0.0
409.87	0.15	0.0
410.05	0.54	0.0
410.46	0.34	0.0
410.69	0.1	0.0
411.28	0.34	0.0
411.69	0.49	0.0
412.1	0.2	0.0
600.0	0.34	0.0
602.0	0.24	0.0
602.82	0.2	0.0
603.41	0.78	0.0
604.0	0.15	0.0
604.41	1.07	0.0
604.46	0.24	0.0
604.64	0.93	0.0
604.82	1.32	0.0
605.64	0.83	0.0
606.05	1.12	0.0
606.46	0.15	0.0
606.64	0.49	0.0
606.82	0.54	0.0
606.87	1.66	0.0
607.05	0.93	0.0
607.28	0.24	0.0
608.05	1.32	0.0
608.23	0.98	0.0
608.64	0.59	0.0
609.28	0.63	0.0
609.46	1.61	0.0
609.87	0.49	0.0
610.69	1.27	0.0
612.46	0.24	0.0
612.87	0.68	0.0
613.69	0.24	0.0
806.41	0.39	0.0
806.82	1.03	0.0
807.05	0.44	0.0
807.87	0.73	0.0
808.05	1.42	0.0
808.28	0.34	0.0
808.46	0.44	0.0
808.87	0.68	0.0
809.05	1.17	0.0
809.28	1.12	0.0
809.46	0.44	0.0
809.69	0.59	0.0
811.05	0.24	0.0
811.46	2.2	0.0
811.64	0.24	0.0
811.87	1.27	0.0
812.28	0.15	0.0
812.46	0.29	0.0
812.87	0.68	0.0
813.1	1.07	0.0
813.28	0.39	0.0
813.69	0.24	0.0
814.1	0.44	0.0
1010.05	0.29	0.0
1010.23	0.88	0.0
1010.46	0.39	0.0
1011.05	0.73	0.0
1011.28	0.44	0.0
1011.46	1.32	0.0
1011.69	1.46	0.0
1011.87	0.44	0.0
1012.28	0.34	0.0
1012.69	1.07	0.0
1013.1	0.39	0.0
1208.82	0.24	0.0
1209.28	0.05	0.0
1211.28	0.24	0.0
1211.46	0.44	0.0
1212.1	0.15	0.0
1214.87	1.56	0.0
1215.28	0.49	0.0
1215.69	0.83	0.0
1216.1	1.03	0.0
1216.51	0.49	0.0
1413.28	0.39	0.0
1413.46	0.49	0.0
1413.64	0.15	0.0
1414.1	0.24	0.0
1414.69	0.34	0.0
1414.87	0.59	0.0
1415.51	0.59	0.0
1416.1	0.63	0.0
1818.1	0.34	0.0
1818.28	0.49	0.0
1818.92	0.24	0.0
1819.51	0.83	0.0
2422.92	0.34	0.0
