cost	iter 1	iter 500
4.82	0.1	8.3
5.23	0.1	6.88
6.05	0.2	7.52
2002.0	0.68	1.46
2002.41	2.2	4.69
2003.23	1.46	2.73
2003.41	0.59	6.45
2003.64	1.37	2.88
2004.0	0.2	0.78
2004.64	0.88	12.65
2004.82	0.29	3.22
2005.23	0.05	1.46
2005.82	0.1	0.49
2006.05	0.2	1.66
2006.46	0.2	0.88
2006.64	0.44	2.83
2006.82	0.05	2.44
2007.05	1.22	6.4
2007.23	0.2	0.29
2007.28	0.1	1.07
2008.46	0.15	0.49
2009.28	0.05	1.66
2009.69	0.05	0.2
4000.0	4.3	1.32
4001.0	3.42	0.83
4001.41	3.32	0.68
4002.0	1.17	0.63
4002.23	3.27	0.88
4002.41	3.52	0.83
4002.82	0.93	0.15
4003.23	2.05	0.49
4003.41	2.39	0.44
4003.64	2.05	0.73
4003.82	0.73	0.2
4004.23	0.88	0.24
4004.41	0.1	0.15
4004.46	0.68	0.15
4004.64	2.88	0.93
4005.05	0.88	0.15
4005.41	0.29	0.05
4005.46	0.73	0.2
4005.64	0.29	0.05
4005.82	0.29	0.39
4005.87	1.32	0.29
4006.05	0.24	0.1
4006.64	0.15	0.05
4006.87	0.05	0.0
4007.05	0.24	0.54
4007.87	0.1	0.2
4008.28	0.15	0.2
4008.64	0.15	0.0
4009.05	2.93	0.39
4009.23	0.59	0.2
4009.46	2.64	0.44
4009.64	0.49	0.0
4009.87	0.34	0.1
4010.05	0.34	0.1
4010.46	0.83	0.1
4010.69	0.29	0.15
4011.28	0.54	0.15
4011.69	0.34	0.0
4012.1	0.15	0.1
6000.0	2.44	3.91
6002.0	0.73	0.34
6002.82	0.98	0.2
6003.41	0.44	0.15
6004.0	0.15	0.0
6004.41	0.73	0.29
6004.46	0.63	0.34
6004.64	1.66	0.98
6004.82	1.07	0.39
6005.64	0.63	0.2
6006.05	0.98	0.34
6006.46	0.44	0.15
6006.64	0.34	0.0
6006.82	0.0	0.0
6006.87	1.22	0.24
6007.05	0.83	0.1
6007.28	0.24	0.05
6008.05	0.29	0.05
6008.23	0.05	0.1
6008.64	0.1	0.15
6009.28	0.05	0.0
6009.46	0.24	0.2
6009.87	0.2	0.1
6010.69	0.2	0.15
6012.46	0.34	0.0
6012.87	0.29	0.15
6013.69	0.24	0.0
8006.41	0.0	0.0
8006.82	0.54	0.15
8007.05	0.1	0.05
8007.87	0.15	0.0
8008.05	0.24	0.1
8008.28	0.1	0.0
8008.46	0.1	0.1
8008.87	0.1	0.0
8009.05	0.34	0.1
8009.28	0.44	0.05
8009.46	0.05	0.05
8009.69	0.05	0.1
8011.05	0.29	0.0
8011.46	0.93	0.2
8011.64	0.24	0.0
8011.87	0.44	0.05
8012.28	0.44	0.0
8012.46	0.2	0.0
8012.87	0.29	0.0
8013.1	0.44	0.05
8013.28	0.24	0.0
8013.69	0.2	0.05
8014.1	0.44	0.0
10010.05	0.39	0.0
10010.23	0.63	0.0
10010.46	0.44	0.0
10011.05	0.24	0.0
10011.28	0.15	0.0
10011.46	0.78	0.05
10011.69	0.78	0.05
10011.87	0.24	0.0
10012.28	0.29	0.0
10012.69	0.34	0.2
10013.1	0.34	0.05
12008.82	0.78	0.0
12009.28	0.34	0.0
12011.28	0.68	0.0
12011.46	1.32	0.0
12012.1	0.63	0.0
12014.87	0.0	0.0
12015.28	0.05	0.0
12015.69	0.05	0.0
12016.1	0.05	0.05
12016.51	0.0	0.0
14013.28	0.1	0.0
14013.46	0.05	0.0
14013.64	0.15	0.0
14014.1	0.24	0.0
14014.69	0.39	0.0
14014.87	0.24	0.0
14015.51	0.2	0.0
14016.1	0.59	0.0
18018.1	1.61	0.0
18018.28	1.27	0.0
18018.92	0.93	0.0
18019.51	3.37	0.0
24022.92	3.56	0.05
