hit_id,x,y,z,volume_id,layer_id,module_id
46433,-41.1109,-51.8686,598.0,9,2,14
47047,23.6973,-30.2973,598.0,9,2,36
47061,30.8252,-49.4888,598.0,9,2,36
47069,24.1797,-43.351,598.0,9,2,36
47364,49.7243,-15.8069,598.0,9,2,47
48007,37.6312,40.3266,598.0,9,2,68
48274,4.99287,33.1699,598.0,9,2,79
48326,8.67228,56.342,598.0,9,2,79
48570,-15.6167,26.9673,598.0,9,2,90
48863,-29.4936,9.32125,598.0,9,2,101
49450,-48.1486,-60.2627,698.0,9,4,14
49992,28.185,-50.9939,702.5,9,4,33
50080,27.4059,-35.4879,698.0,9,4,36
50091,36.2582,-57.3976,698.0,9,4,36
50370,57.835,-18.95,698.0,9,4,47
50893,43.5849,47.7786,702.5,9,4,66
51205,10.4699,66.2066,702.5,9,4,77
51220,5.73586,38.9915,702.5,9,4,77
51503,-18.1074,31.7601,702.5,9,4,87
51891,-34.4032,11.1384,698.0,9,4,101
52525,-56.6317,-70.272,818.0,9,6,14
53108,42.9947,-66.8596,818.0,9,6,36
53136,31.6946,-41.8166,818.0,9,6,36
53143,32.6183,-59.4962,818.0,9,6,36
53407,67.5479,-22.8649,818.0,9,6,47
53987,49.9672,56.3099,818.0,9,6,68
54261,6.45343,45.3554,818.0,9,6,79
54286,12.5653,77.1296,818.0,9,6,79
54541,-20.8288,37.0996,818.0,9,6,90
54877,-40.2099,13.4354,818.0,9,6,101
57985,-76.7689,-93.2711,1098.0,9,10,16
58379,42.8762,-80.2547,1098.0,9,10,36
58403,41.332,-56.7778,1098.0,9,10,36
58416,59.3878,-88.6862,1098.0,9,10,38
58608,89.708,-32.6934,1098.0,9,10,47
59011,64.1873,77.7512,1098.0,9,10,68
59213,8.01925,60.79,1098.0,9,10,79
59244,18.11,103.588,1098.0,9,10,80
59411,-27.1914,50.3532,1098.0,9,10,90
59681,-53.5412,19.1738,1098.0,9,10,101
60107,-91.4006,-109.404,1298.0,9,12,16
60416,49.9133,-95.0319,1298.0,9,12,35
60441,47.9071,-67.4118,1298.0,9,12,36
60459,71.6277,-104.165,1298.0,9,12,38
60640,105.149,-40.2789,1298.0,9,12,48
60999,73.6485,93.5832,1298.0,9,12,70
61139,8.88804,71.8291,1298.0,9,12,79
61160,22.3572,122.454,1298.0,9,12,80
61352,-31.4217,60.0316,1298.0,9,12,90
61526,-62.964,23.6181,1298.0,9,12,101
61912,-106.212,-125.363,1498.0,9,14,16
62178,56.7873,-109.857,1498.0,9,14,35
62199,54.2422,-78.1324,1498.0,9,14,36
62214,84.2213,-119.453,1498.0,9,14,38
62368,120.313,-48.2863,1498.0,9,14,48
62657,82.6039,109.69,1498.0,9,14,70
62801,9.70502,82.8471,1498.0,9,14,79
62808,26.904,141.297,1498.0,9,14,80
62965,-35.5564,70.0324,1498.0,9,14,90
63106,-72.3622,28.2686,1498.0,9,14,101
