hit_id,x,y,z,volume_id,layer_id,module_id
47639.0,123.965,-1.95196,602.0,9.0,2.0,56.0
47144.0,50.515,-62.7,602.0,9.0,2.0,39.0
48600.0,-73.4862,129.032,602.0,9.0,2.0,91.0
48395.0,-2.59196,35.1644,602.0,9.0,2.0,82.0
47452.0,40.6194,-1.84662,602.0,9.0,2.0,50.0
48045.0,15.8324,28.9462,602.0,9.0,2.0,71.0
47158.0,23.6374,-22.5562,602.0,9.0,2.0,39.0
48626.0,-58.4873,58.3558,602.0,9.0,2.0,93.0
46192.0,-44.4919,-17.1032,602.0,9.0,2.0,6.0
47171.0,107.641,-138.041,602.0,9.0,2.0,40.0
49261.0,-70.5163,-22.038,702.0,9.0,4.0,6.0
49509.0,-42.9376,-65.9051,702.0,9.0,4.0,17.0
51683.0,-17.6413,25.2362,702.0,9.0,4.0,93.0
49268.0,-37.9346,-14.2248,702.0,9.0,4.0,6.0
51056.0,25.7576,40.9321,702.0,9.0,4.0,71.0
51358.0,-9.08299,81.3162,702.0,9.0,4.0,82.0
50733.0,59.8803,25.4256,702.0,9.0,4.0,60.0
51326.0,2.15025,105.513,702.0,9.0,4.0,81.0
50418.0,131.436,-50.46,702.0,9.0,4.0,49.0
51331.0,-1.23832,38.9949,702.0,9.0,4.0,82.0
53510.0,93.9978,-20.9471,822.0,9.0,6.0,50.0
53207.0,30.0449,-24.0532,822.0,9.0,6.0,39.0
52190.0,-154.685,-9.32882,822.0,9.0,6.0,2.0
54319.0,3.93661,123.581,822.0,9.0,6.0,81.0
54850.0,-126.234,76.8649,822.0,9.0,6.0,100.0
54948.0,-39.2043,7.74093,822.0,9.0,6.0,104.0
54595.0,-53.2424,105.196,822.0,9.0,6.0,91.0
53497.0,31.5658,-5.34149,822.0,9.0,6.0,50.0
53746.0,35.2667,20.3717,822.0,9.0,6.0,60.0
53476.0,124.372,-45.7723,822.0,9.0,6.0,49.0
56745.0,97.6492,93.9369,962.0,9.0,8.0,69.0
56303.0,33.7471,-15.5323,962.0,9.0,8.0,50.0
56822.0,71.5706,100.455,962.0,9.0,8.0,72.0
57503.0,-36.5649,8.85558,962.0,9.0,8.0,104.0
56280.0,140.178,-38.6775,962.0,9.0,8.0,49.0
57004.0,1.75732,63.3845,962.0,9.0,8.0,82.0
57493.0,-138.172,45.0186,962.0,9.0,8.0,103.0
56057.0,38.3074,-35.1131,962.0,9.0,8.0,39.0
56394.0,164.803,-16.5523,962.0,9.0,8.0,53.0
55281.0,-37.1309,-18.2755,962.0,9.0,8.0,6.0
58515.0,119.458,-104.559,1102.0,9.0,10.0,43.0
59091.0,49.2488,69.8882,1102.0,9.0,10.0,71.0
59279.0,-5.37444,67.3328,1102.0,9.0,10.0,82.0
59496.0,-41.0275,39.3758,1102.0,9.0,10.0,93.0
59586.0,-94.1735,79.0131,1102.0,9.0,10.0,97.0
58448.0,32.4417,-40.4095,1102.0,9.0,10.0,39.0
59472.0,-33.4017,29.6772,1102.0,9.0,10.0,93.0
58641.0,105.101,-41.9261,1102.0,9.0,10.0,49.0
59027.0,75.1205,72.261,1102.0,9.0,10.0,69.0
59733.0,-38.7608,11.9024,1102.0,9.0,10.0,104.0
61598.0,-49.8576,9.6301,1302.0,9.0,12.0,104.0
61088.0,44.7245,111.556,1302.0,9.0,12.0,75.0
60837.0,74.8019,25.2743,1302.0,9.0,12.0,60.0
60138.0,-29.1913,-63.3775,1302.0,9.0,12.0,17.0
60983.0,100.965,97.2526,1302.0,9.0,12.0,69.0
59965.0,-59.095,-28.5585,1302.0,9.0,12.0,6.0
59966.0,-62.8615,-17.839,1302.0,9.0,12.0,6.0
60985.0,118.772,114.896,1302.0,9.0,12.0,69.0
60652.0,156.718,-52.8694,1302.0,9.0,12.0,49.0
60906.0,119.115,83.2623,1302.0,9.0,12.0,65.0
61900.0,-106.82,-109.825,1502.0,9.0,14.0,15.0
62643.0,93.1547,83.7148,1502.0,9.0,14.0,69.0
63212.0,-170.985,28.0163,1502.0,9.0,14.0,107.0
63011.0,-74.4418,83.3464,1502.0,9.0,14.0,94.0
62529.0,74.2886,34.5327,1502.0,9.0,14.0,60.0
62693.0,102.388,135.185,1502.0,9.0,14.0,72.0
62504.0,132.009,31.1767,1502.0,9.0,14.0,59.0
62992.0,-43.2279,43.107,1502.0,9.0,14.0,93.0
63066.0,-112.915,101.789,1502.0,9.0,14.0,97.0
62392.0,94.5774,-22.6289,1502.0,9.0,14.0,50.0
