hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
47961,16.3316,29.0918,598.0,9,2,68,6.620300385766605e+17
48318,7.80864,36.4466,598.0,9,2,79,7.971543826332385e+17
47992,36.2631,36.1841,598.0,9,2,68,8.377012103696876e+17
47354,40.4725,-10.5134,598.0,9,2,47,6.800436811718984e+17
48289,10.9093,73.9321,598.0,9,2,79,5.85472487043629e+17
47102,70.9552,-99.1139,598.0,9,2,38,3.0625343331526246e+17
48880,-35.2814,12.6928,598.0,9,2,101,1.5763114091872256e+17
47366,43.4123,-9.56637,598.0,9,2,47,4.458637848131666e+17
47388,106.809,-44.0125,598.0,9,2,48,6.755708678701056e+16
47036,16.6986,-27.6802,598.0,9,2,36,4.233398768013148e+17
46157,-60.1501,-18.323,598.0,9,2,4,4.954282571648205e+16
50641,156.931,15.6561,698.0,9,4,57,8.511823224378491e+17
49158,-36.3035,-13.3178,698.0,9,4,4,1.8464875295329485e+17
51312,11.767,127.575,698.0,9,4,80,2.206879953327227e+17
51587,-47.81,83.9996,698.0,9,4,90,5.989812930609152e+17
50997,41.6989,42.9335,698.0,9,4,68,8.377012103696876e+17
49739,-1.37151,-38.1381,698.0,9,4,25,1.576272239085486e+17
52013,-103.408,28.7645,698.0,9,4,105,8.647090642385633e+17
49774,-11.095,-61.6351,698.0,9,4,25,7.115782931318047e+17
50691,71.5212,19.4589,698.0,9,4,58,6.48531746639315e+17
51867,-33.2296,6.75566,698.0,9,4,101,1.801563546006323e+16
51596,-13.1792,28.9228,698.0,9,4,90,4.323516802609971e+17
50202,99.5165,-92.2687,698.0,9,4,41,8.241626488189747e+17
51307,-0.0415616,33.5661,698.0,9,4,79,1.3961708600662426e+17
51561,-44.2641,95.2352,698.0,9,4,89,4.188395069893509e+17
50350,39.3477,-18.9773,698.0,9,4,47,1.666395771240448e+17
54590,-36.2418,67.8972,818.0,9,6,90,8.64698481439146e+17
54263,-2.77174,47.946,818.0,9,6,79,7.836277782714778e+17
54267,-1.55537,35.9986,818.0,9,6,79,3.648038706033459e+17
53406,46.7251,-23.2237,818.0,9,6,47,6.845492049446175e+17
54991,-161.94,40.0654,818.0,9,6,105,9.458693088844186e+16
54567,-21.9637,27.5639,818.0,9,6,90,8.376737912984699e+17
53948,135.395,107.589,818.0,9,6,67,5.584558370985206e+17
54587,-24.3895,24.8239,818.0,9,6,90,3.647979607283466e+17
53029,23.9183,-133.033,818.0,9,6,32,4.098321015761797e+17
53398,33.6713,-16.139,818.0,9,6,47,4520848216031232.0
54551,-15.7317,33.7579,818.0,9,6,90,4.323516802609971e+17
52234,-35.3055,-7.11345,818.0,9,6,4,3.648053824318341e+17
56957,-0.113253,84.9117,958.0,9,8,79,2.927532172325683e+17
56734,31.7867,24.3989,958.0,9,8,68,1.1259404513338982e+17
56010,92.7831,-143.604,958.0,9,8,38,6.890567903016387e+17
57474,-39.6607,15.6433,958.0,9,8,101,7.971417382495191e+17
57201,-18.7334,41.8142,958.0,9,8,90,9.502624075931976e+17
56682,99.1437,88.5346,958.0,9,8,67,5.71958183468204e+17
56704,61.1019,72.1955,958.0,9,8,68,6.306077142417408e+16
55818,-1.16205,-105.094,958.0,9,8,29,8.016500108013076e+17
55211,-48.8637,-7.74603,958.0,9,8,4,6.305506770760499e+16
55823,11.4432,-161.442,958.0,9,8,29,5.854755107006054e+17
57427,-109.966,81.0622,958.0,9,8,99,4.458746424904909e+17
56711,22.9116,32.7926,958.0,9,8,68,9.68274607079424e+17
56256,156.591,-60.8065,958.0,9,8,48,5.404336732713779e+17
56227,36.76,-7.94739,958.0,9,8,47,5.854725557631058e+17
58806,62.919,21.9702,1098.0,9,10,58,7.340910685884252e+17
