hit_id,x,y,z,volume_id,layer_id,module_id,particle_id
46135,-39.5171,-8.12456,598.0,9,2,4,4512601878822912.0
46140,-45.9291,-6.47587,598.0,9,2,4,4.458878366300242e+17
46141,-30.0554,-6.5729,598.0,9,2,4,1.5313324500792115e+17
46165,-33.0817,-9.87049,598.0,9,2,4,1.0359241215626445e+17
46167,-31.7498,-7.03111,598.0,9,2,4,3.5578450800122266e+17
46440,-45.3227,-46.4835,598.0,9,2,14,1.801441225337733e+17
46746,-4.62524,-39.9697,598.0,9,2,25,7.791286454100951e+17
47047,23.6973,-30.2973,598.0,9,2,36,3.7380124297291366e+17
47061,30.8252,-49.4888,598.0,9,2,36,3.017470849088225e+17
47069,24.1797,-43.351,598.0,9,2,36,1.035926870341714e+17
47338,29.1388,-9.71547,598.0,9,2,47,3.017470161893458e+17
47654,66.5914,18.5325,598.0,9,2,58,9.637714197689139e+17
48268,2.75214,46.7589,598.0,9,2,79,3.017490777736479e+17
48277,3.18697,45.2739,598.0,9,2,79,4.098312769424589e+17
48861,-52.8328,16.5533,598.0,9,2,101,3.64813216452182e+17
49162,-53.5982,-8.26564,698.0,9,4,4,4.458878366300242e+17
49188,-36.9697,-8.33571,698.0,9,4,4,3.5578450800122266e+17
49190,-38.6088,-11.3517,698.0,9,4,4,1.0359241215626445e+17
49200,-46.0653,-9.54239,698.0,9,4,4,4512601878822912.0
49201,-35.0874,-7.78098,698.0,9,4,4,1.5313324500792115e+17
49434,-52.7537,-54.7222,698.0,9,4,14,1.801441225337733e+17
49756,-5.29997,-46.631,698.0,9,4,25,7.791286454100951e+17
50076,28.0181,-50.6497,698.0,9,4,36,1.035926870341714e+17
50080,27.4059,-35.4879,698.0,9,4,36,3.7380124297291366e+17
50091,36.2582,-57.3976,698.0,9,4,36,3.017470849088225e+17
50384,33.9437,-11.2187,698.0,9,4,47,3.017470161893458e+17
50689,77.5374,22.3431,698.0,9,4,58,9.637714197689139e+17
51263,3.36245,54.5136,698.0,9,4,79,3.017490777736479e+17
51290,3.07169,52.7309,698.0,9,4,79,4.098312769424589e+17
51892,-61.2046,20.0751,698.0,9,4,101,3.64813216452182e+17
52209,-62.7832,-10.7279,818.0,9,6,4,4.458878366300242e+17
52211,-41.0923,-9.27404,818.0,9,6,4,1.5313324500792115e+17
52216,-53.9721,-11.2864,818.0,9,6,4,4512601878822912.0
52220,-43.1124,-10.0161,818.0,9,6,4,3.5578450800122266e+17
52235,-45.2205,-13.0419,818.0,9,6,4,1.0359241215626445e+17
52515,-61.6345,-64.7354,818.0,9,6,14,1.801441225337733e+17
52817,-5.98092,-54.6461,818.0,9,6,25,7.791286454100951e+17
53108,42.9947,-66.8596,818.0,9,6,36,3.017470849088225e+17
53136,31.6946,-41.8166,818.0,9,6,36,3.7380124297291366e+17
53143,32.6183,-59.4962,818.0,9,6,36,1.035926870341714e+17
53431,39.7337,-13.0758,818.0,9,6,47,3.017470161893458e+17
53709,90.6834,27.0418,818.0,9,6,58,9.637714197689139e+17
54273,4.19034,63.7584,818.0,9,6,79,3.017490777736479e+17
54297,2.8131,61.5534,818.0,9,6,79,4.098312769424589e+17
54872,-71.2236,24.5498,818.0,9,6,101,3.64813216452182e+17
55189,-48.0817,-11.0035,958.0,9,8,4,1.5313324500792115e+17
55194,-63.1834,-13.3436,958.0,9,8,4,4512601878822912.0
55212,-53.0187,-15.0169,958.0,9,8,4,1.0359241215626445e+17
55228,-73.405,-14.0492,958.0,9,8,4,4.458878366300242e+17
55231,-50.2622,-12.0412,958.0,9,8,4,3.5578450800122266e+17
55482,-71.7591,-76.5938,958.0,9,8,16,1.801441225337733e+17
55733,-6.76338,-63.9509,958.0,9,8,25,7.791286454100951e+17
55976,37.8028,-69.8703,958.0,9,8,36,1.035926870341714e+17
55977,36.5682,-49.2911,958.0,9,8,36,3.7380124297291366e+17
55986,51.0972,-77.785,958.0,9,8,36,3.017470849088225e+17
56226,46.5091,-15.1787,958.0,9,8,47,3.017470161893458e+17
56563,105.96,32.7986,958.0,9,8,61,9.637714197689139e+17
56955,2.22505,71.9253,958.0,9,8,79,4.098312769424589e+17
56963,5.2415,74.5655,958.0,9,8,79,3.017490777736479e+17
57442,-82.7946,30.1283,958.0,9,8,101,3.64813216452182e+17
57731,-72.3536,-15.4423,1098.0,9,10,4,4512601878822912.0
57736,-84.0292,-17.5769,1098.0,9,10,4,4.458878366300242e+17
57737,-55.1024,-12.8433,1098.0,9,10,4,1.5313324500792115e+17
57753,-60.8402,-16.8947,1098.0,9,10,4,1.0359241215626445e+17
57763,-57.3223,-14.1989,1098.0,9,10,4,3.5578450800122266e+17
57983,-81.724,-88.6723,1098.0,9,10,16,1.801441225337733e+17
58162,-7.40041,-73.3197,1098.0,9,10,25,7.791286454100951e+17
58379,42.8762,-80.2547,1098.0,9,10,36,1.035926870341714e+17
58403,41.332,-56.7778,1098.0,9,10,36,3.7380124297291366e+17
58416,59.3878,-88.6862,1098.0,9,10,38,3.017470849088225e+17
58610,53.3083,-17.2373,1098.0,9,10,47,3.017470161893458e+17
58883,121.056,38.9128,1098.0,9,10,61,9.637714197689139e+17
59223,1.47864,82.1967,1098.0,9,10,79,4.098312769424589e+17
59229,6.44622,85.412,1098.0,9,10,79,3.017490777736479e+17
59666,-94.2651,36.0964,1098.0,9,10,101,3.64813216452182e+17
59913,-85.4094,-18.4739,1298.0,9,12,4,4512601878822912.0
59918,-72.0215,-19.4762,1298.0,9,12,4,1.0359241215626445e+17
59923,-65.0534,-15.4894,1298.0,9,12,4,1.5313324500792115e+17
59925,-98.6059,-23.2361,1298.0,9,12,4,4.458878366300242e+17
59929,-67.3336,-17.4252,1298.0,9,12,4,3.5578450800122266e+17
60112,-95.6218,-106.191,1298.0,9,12,16,1.801441225337733e+17
60267,-8.15389,-86.7172,1298.0,9,12,25,7.791286454100951e+17
60416,49.9133,-95.0319,1298.0,9,12,35,1.035926870341714e+17
60441,47.9071,-67.4118,1298.0,9,12,36,3.7380124297291366e+17
60459,71.6277,-104.165,1298.0,9,12,38,3.017470849088225e+17
60613,63.1875,-20.1388,1298.0,9,12,47,3.017470161893458e+17
60855,142.501,48.2097,1298.0,9,12,61,9.637714197689139e+17
61150,8.36694,100.895,1298.0,9,12,79,3.017490777736479e+17
61154,0.0751392,96.8646,1298.0,9,12,79,4.098312769424589e+17
61554,-110.453,45.2728,1298.0,9,12,102,3.64813216452182e+17
61735,-74.9693,-18.2814,1498.0,9,14,4,1.5313324500792115e+17
61738,-77.1942,-20.8209,1498.0,9,14,4,3.5578450800122266e+17
61750,-83.3705,-21.8409,1498.0,9,14,4,1.0359241215626445e+17
61752,-98.4579,-21.6065,1498.0,9,14,4,4512601878822912.0
61801,-112.701,-29.679,1498.0,9,14,7,4.458878366300242e+17
61917,-109.172,-124.075,1498.0,9,14,16,1.801441225337733e+17
62052,-8.76259,-100.187,1498.0,9,14,25,7.791286454100951e+17
62178,56.7873,-109.857,1498.0,9,14,35,1.035926870341714e+17
62199,54.2422,-78.1324,1498.0,9,14,36,3.7380124297291366e+17
62214,84.2213,-119.453,1498.0,9,14,38,3.017470849088225e+17
62343,73.0338,-22.9725,1498.0,9,14,47,3.017470161893458e+17
62534,163.781,57.8206,1498.0,9,14,61,9.637714197689139e+17
62805,10.3073,116.415,1498.0,9,14,80,3.017490777736479e+17
62849,-1.66561,111.27,1498.0,9,14,83,4.098312769424589e+17
63131,-126.342,55.1025,1498.0,9,14,102,3.64813216452182e+17
47696,54.4521,19.1662,598.0,9,2,58,4510540294520832.0
47867,111.204,60.9957,598.0,9,2,64,4533767477657600.0
47988,33.5828,50.1373,598.0,9,2,68,1.8915235258066534e+17
48272,13.0961,59.6576,598.0,9,2,79,5.71962100478378e+17
49436,-18.0068,-24.8501,698.0,9,4,14,4.098298338334474e+17
50685,63.6718,22.0995,698.0,9,4,58,4510540294520832.0
50858,130.495,69.7379,698.0,9,4,64,4533767477657600.0
50936,39.7955,58.1043,698.0,9,4,68,1.8915235258066534e+17
50974,19.0562,26.8927,698.0,9,4,68,3.6480565730974106e+17
52509,-20.9262,-29.2362,818.0,9,6,14,4.098298338334474e+17
53091,42.3175,-99.368,818.0,9,6,35,4.5486383724232704e+17
53705,74.7603,25.5329,818.0,9,6,58,4510540294520832.0
53876,153.841,79.708,818.0,9,6,64,4533767477657600.0
53972,22.3769,31.3197,818.0,9,6,68,3.6480565730974106e+17
53986,47.4534,67.4555,818.0,9,6,68,1.8915235258066534e+17
54606,-65.0234,90.9853,818.0,9,6,92,9.097313853363978e+17
55428,-24.3729,-34.5036,958.0,9,8,14,4.098298338334474e+17
55956,48.2252,-116.709,958.0,9,8,35,4.5486383724232704e+17
56228,31.8064,-15.6371,958.0,9,8,47,2.2068675838214144e+17
56495,87.7406,29.4205,958.0,9,8,58,4510540294520832.0
56698,26.2024,36.4917,958.0,9,8,68,3.6480565730974106e+17
56703,56.7011,78.1292,958.0,9,8,68,1.8915235258066534e+17
57183,-32.7081,46.4956,958.0,9,8,90,8.601906899404759e+17
57228,-73.9214,109.549,958.0,9,8,92,9.097313853363978e+17
57964,-27.6968,-39.7812,1098.0,9,10,14,4.098298338334474e+17
58366,53.688,-134.156,1098.0,9,10,35,4.5486383724232704e+17
58597,36.4805,-17.7355,1098.0,9,10,47,2.2068675838214144e+17
58876,100.738,33.1576,1098.0,9,10,61,4510540294520832.0
58991,29.9868,41.6925,1098.0,9,10,68,3.6480565730974106e+17
59038,66.0867,88.5467,1098.0,9,10,70,1.8915235258066534e+17
59247,18.7426,110.656,1098.0,9,10,80,5.71962100478378e+17
59459,-82.0949,128.47,1098.0,9,10,92,9.097313853363978e+17
59686,-81.778,32.673,1098.0,9,10,101,8.601906899404759e+17
60085,-32.3398,-47.4501,1298.0,9,12,14,4.098298338334474e+17
60609,43.2829,-20.7155,1298.0,9,12,47,2.2068675838214144e+17
60847,119.296,38.3229,1298.0,9,12,61,4510540294520832.0
60966,35.4837,49.1294,1298.0,9,12,68,3.6480565730974106e+17
60992,79.8688,103.187,1298.0,9,12,70,1.8915235258066534e+17
61159,19.7964,131.239,1298.0,9,12,80,5.71962100478378e+17
61893,-36.9236,-55.2037,1498.0,9,14,14,4.098298338334474e+17
62357,50.1946,-23.5785,1498.0,9,14,47,2.2068675838214144e+17
62545,137.902,43.3461,1498.0,9,14,61,4510540294520832.0
62629,41.0551,56.5766,1498.0,9,14,68,3.6480565730974106e+17
62662,93.9128,117.595,1498.0,9,14,70,1.8915235258066534e+17
62807,20.204,151.895,1498.0,9,14,80,5.71962100478378e+17
